UCL_CODE11,UCL_NAME11,fraction_with_internet,score_internet
121018,Clunes (L) (NSW),0.7652217911958171,0.8386354634713018
121019,Cobbitty (L),0.8215995743926228,0.9004220054709124
121020,Coleambally (L),0.6795326517838515,0.7447254991027862
121021,Coolah (L),0.6183274021352313,0.6776483542847651
121022,Coutts Crossing (L),0.6974367293964958,0.7643472539971968
121023,Cowan (L),0.9044455799693408,0.9912160720839448
121024,Crescent Head (L),0.6772527756261296,0.7422268967103997
121025,Cudgen (L),0.7521489971346705,0.8243084946990167
121026,Cumbalum (L),0.7905053598774885,0.8663446813523383
121027,Cunjurong Point - Manyana (L),0.7477436823104693,0.8194805437940147
121028,Curlewis (L),0.663850331925166,0.7275386524469407
121029,Dareton (L),0.661626481405803,0.7251014506677254
121030,Darlington Point (L),0.6795326517838515,0.7447254991027862
121031,Diamond Beach (L),0.7910652920962199,0.8669583322195392
121032,Dunedoo (L),0.6468481375358166,0.7089053054411543
121033,East Jindabyne (L),0.6681391496410822,0.7322389297708662
121034,Ellalong (L),0.7391455366446683,0.8100575112060842
121035,Emerald Beach West (L),0.8443311337732453,0.9253343799692957
121036,Erowal Bay (L),0.7252957550452331,0.7948790124436954
121037,Eugowra (L),0.6467417932386085,0.7087887587092097
121038,Exeter (L) (NSW),0.8148423005565862,0.8930164538511248
121039,Firgrove (L),0.7319070258848389,0.8021245538651476
121040,Ganmain (L),0.728656273199703,0.7985619312162692
121041,Gillieston Heights (L),0.7462090981644054,0.8177987350669542
121042,Glenorie (L),0.8574481074481074,0.9397097668489198
121043,Green Point (L),0.6986744759556104,0.7657037472011357
121044,Hallidays Point - Black Head (L),0.7910652920962199,0.8669583322195392
121045,Hanwood (L),0.6795326517838515,0.7447254991027862
121046,Hastings Point (L),0.7936569328949913,0.8697986092574321
121047,Henty (L),0.7442401675587619,0.8156409096495333
121048,Hillston (L),0.6795326517838515,0.7447254991027862
121049,Huskisson (L),0.7585315408479835,0.8313033654237192
121050,Jamberoo (L),0.7954701441317776,0.871785775936987
121051,Jerilderie (L),0.6683489545782264,0.732468862925835
121052,Jilliby (L),0.8336431226765799,0.9136209849212648
121053,Kalaru (L),0.7245762711864406,0.794090502907871
121054,Kendall (L),0.7265732344050564,0.7962790503246426
121055,Kianga (L),0.7130972189208462,0.7815101759651106
121056,Killingworth (L),0.8176699870073625,0.8961154222345166
121057,King Creek (L),0.7380666826577117,0.8088751543733608
121058,Kings Point (L),0.7309267404823298,0.8010502220670649
121059,Kingswood (L),0.7085946145333825,0.7765756017530934
121060,Kirkham (L),0.8662237656651064,0.9493273421463742
121061,Kurrajong Heights (L),0.837890625,0.9182759831460674
121062,Lake Tabourie (L),0.7477436823104693,0.8194805437940147
